user_id,relation_id,entity_id,timestamp,user_id:token,entity_id:token,item_id:token,cluster_label,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,prob_cluster_10,prob_cluster_11
1,30,5434,2003-04-18,A2B8DJ0CKN9FAO,res:George_Lucas_in_Love,0615115187,9,0.0,0.0,4.798774366444347e-234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,25,5434,2002-06-04,AUDSM2CTLLW1Q,res:George_Lucas_in_Love,0615115187,4,0.0,0.0,8.787206171335085e-27,0.0,1.0,0.0,0.0,0.0,2.0100169284797006e-127,0.0,0.0,0.0
7,31,5434,2000-07-12,A2QK0CLGM4Q0R3,res:George_Lucas_in_Love,0615115187,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.743828455758266e-127,0.0,1.0,0.0
3,22,5434,2002-03-15,A96K1ZGW56S2I,res:George_Lucas_in_Love,0615115187,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,32,5434,2000-11-08,A3V6Z4RCDGRC44,res:George_Lucas_in_Love,0615115187,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,30,5434,2001-04-04,A3S1YIQQW7AZO,res:George_Lucas_in_Love,0615115187,9,0.0,0.0,5e-324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,21,5434,2001-09-02,A3DE1IYJGU5HPW,res:George_Lucas_in_Love,0615115187,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,30,5435,2014-05-16,A22GBH86L94L0I,res:Absence_of_Malice,0767804325,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
573,21,5435,2013-09-11,A3MV1KKHX51FYT,res:Absence_of_Malice,0767804325,0,1.0,0.0,6.376032376326123e-301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,23,5435,2012-12-24,A14I90JCYYG9SI,res:Absence_of_Malice,0767804325,2,0.0,0.0,1.0,0.0,3.9220685355341506e-26,0.0,0.0,0.0,1.9088673870917949e-78,0.0,0.0,0.0
20,30,5435,2012-05-13,ANGH6401L9Y0T,res:Absence_of_Malice,0767804325,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
575,32,5435,2010-11-01,A2KWQ64TRHB3YH,res:Absence_of_Malice,0767804325,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
583,32,5435,2004-11-23,A1ENC0ALMHVBU,res:Absence_of_Malice,0767804325,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
577,26,5435,2010-02-12,A2ZHSORK1HHYTT,res:Absence_of_Malice,0767804325,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.272956417189131e-42,0.0,0.0,0.0
330,32,5435,2009-10-25,A2XRMQA6PJ5ZJ8,res:Absence_of_Malice,0767804325,11,0.0,1.5533069867194027e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,30,5435,2009-04-10,ANCOMAI0I7LVG,res:Absence_of_Malice,0767804325,9,0.0,0.0,2.6217272658641344e-246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
584,21,5435,2004-09-02,A2NJO6YE954DBH,res:Absence_of_Malice,0767804325,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,21,5435,2003-08-20,A1TK6R2JSC97HL,res:Absence_of_Malice,0767804325,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1341771269932424e-125,0.0,0.0,0.0
137,25,5435,2003-06-17,A3R2YB0WTTB0IJ,res:Absence_of_Malice,0767804325,4,0.0,0.0,1.359217183710296e-46,0.0,1.0,0.0,0.0,0.0,1.1902894079633649e-125,0.0,0.0,0.0
585,26,5435,2002-01-17,AJQ1S39GZBKUG,res:Absence_of_Malice,0767804325,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7105515821261445e-31,0.0,0.0,0.0
580,25,5435,2006-12-13,A5A2QE6NECFR5,res:Absence_of_Malice,0767804325,4,0.0,0.0,8.065664072368054e-18,0.0,1.0,0.0,0.0,0.0,2.5715419260981454e-32,0.0,0.0,0.0
508,27,5435,2017-08-23,A20EEWWSFMZ1PN,res:Absence_of_Malice,0767804325,6,2.2873425360850942e-55,0.0,0.0,9.318399814112307e-07,0.0,0.0,0.9999990681600187,0.0,8.787145168153603e-308,0.0,0.0,0.0
579,26,5435,2007-02-23,AOHYZBTBQ5PN4,res:Absence_of_Malice,0767804325,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.390018253078778e-51,0.0,0.0,0.0
578,26,5435,2009-01-30,A3PQ3K5RKNJYA1,res:Absence_of_Malice,0767804325,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5069516304687317e-29,0.0,0.0,0.0
582,32,5435,2005-11-15,A1OTGBG66P6K5Y,res:Absence_of_Malice,0767804325,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,30,5435,2005-05-11,A1SVXJZ3386U2D,res:Absence_of_Malice,0767804325,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
581,32,5435,2005-11-16,A15Q7ABIU9O9YZ,res:Absence_of_Malice,0767804325,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,30,5435,2005-04-11,A2CW9IQAPFEYLM,res:Absence_of_Malice,0767804325,9,0.0,0.0,1.159201105918334e-240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
576,30,5435,2010-05-28,A2FOT0QE23VN6J,res:Absence_of_Malice,0767804325,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,26,5436,2013-02-21,A3804ADXG509OR,res:Spice_World_(film),0767808673,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,22,5436,2006-03-28,A141HP4LYPWMSR,res:Spice_World_(film),0767808673,1,0.0,1.0,8.1574779578948e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,32,5436,2001-11-03,A1VFCX7D378LXO,res:Spice_World_(film),0767808673,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,32,5436,2000-10-21,A7Y6AVS576M03,res:Spice_World_(film),0767808673,11,0.0,8.532589627197178e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999914674103
69,31,5436,2010-07-27,AC9RN6DJ953QY,res:Spice_World_(film),0767808673,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7929995613393815e-64,0.0,1.0,0.0
85,26,5436,2003-02-06,ATFNT456Z3N64,res:Spice_World_(film),0767808673,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0028570141558535e-20,0.0,0.0,0.0
87,32,5436,2000-10-27,A2W8GURWX2CGQ6,res:Spice_World_(film),0767808673,11,0.0,1.3526381692460527e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,30,5437,2012-04-11,A2IS16K96YSFDV,res:Midnight_Express_(film),0767817486,9,0.0,0.0,3.017261374868744e-250,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
