user_id,entity_id,timestamp,user_id:token,entity_id:token,item_id:token,cluster_label,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,prob_cluster_10,prob_cluster_11,prob_cluster_12,prob_cluster_13,prob_cluster_14
1,1993,2002-12-01,A103KNDW8GN92L,res:Die_Another_Day,B00005JLBE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.981216656417291e-221,0.0
1,2002,2002-12-29,A103KNDW8GN92L,res:Catch_Me_If_You_Can,B00005JLSB,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1895241815102597e-57,0.0,0.0,1.0,0.0
1,2006,2003-07-14,A103KNDW8GN92L,res:Charlie's_Angels:_Full_Throttle,B00005JLYW,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010,2003-05-27,A103KNDW8GN92L,res:Bend_It_Like_Beckham,B00005JM2Y,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5201180991409475e-74,0.0,1.0,0.0,0.0,0.0
1,2028,2003-11-17,A103KNDW8GN92L,res:Love_Actually,B00005JMFQ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2035,2003-12-23,A103KNDW8GN92L,res:Lost_in_Translation_(film),B00005JMJ4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407110944218948e-63,0.0,0.0,1.0,0.0
1,2050,2003-05-09,A103KNDW8GN92L,res:Daddy_Day_Care,B00005JM4W,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504872311153805e-81,0.0,1.0,0.0,0.0,0.0
1,2746,2004-01-20,A103KNDW8GN92L,res:Mona_Lisa_Smile,B0001ADAVK,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0982577115294033e-143,0.0,0.0,0.0,0.0,0.0
1,2811,2003-12-27,A103KNDW8GN92L,res:The_Station_Agent,B0001WTWDI,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.077594315200654e-61,0.0,0.0,1.0,0.0
1,2817,2004-02-04,A103KNDW8GN92L,res:The_Company_(film),B0001XAOPM,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1458,2006-06-09,A106016KSI0YQ,res:The_Naked_Kiss,0780021088,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1602374309227807e-104,1.0,0.0,0.0,1.5198057812300589e-63,0.0
2,1464,2002-03-29,A106016KSI0YQ,res:The_Changeling_(film),0783116926,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1720,2005-01-16,A106016KSI0YQ,res:Nashville_(film),6305918708,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2534028997331663e-139,0.0,0.0,0.0,0.0,0.0
2,1814,2006-02-24,A106016KSI0YQ,res:In_the_Mood_for_Love,B00003CXUM,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1821,2003-05-21,A106016KSI0YQ,res:The_Others_(2001_film),B00003CYLJ,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1069885651767668e-65,0.0,1.0,0.0,0.0,0.0
2,1921,2002-12-19,A106016KSI0YQ,res:Wives_and_Daughters_(1999_TV_series),B000059H6T,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3619938546694496e-09,0.0,0.0,0.9999999986380068,0.0
2,1944,2003-05-22,A106016KSI0YQ,res:Best_in_Show_(film),B00005ALS0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.968764816648677e-65,0.0,1.0,0.0,0.0,0.0
2,1948,2002-01-21,A106016KSI0YQ,res:Psycho_Beach_Party,B00005ASPE,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.48970183185201e-44,0.0,0.0,0.0,0.0,0.0
2,1989,2007-04-30,A106016KSI0YQ,res:Mulholland_Drive_(film),B00005JKJA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.4791796303435025e-244,0.0,0.0
2,2012,2005-02-02,A106016KSI0YQ,res:Down_with_Love,B00005JLZW,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2069,2003-12-17,A106016KSI0YQ,res:The_Hours_(film),B00005JKTI,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2021449910026484e-10,0.0,0.0,0.999999999779785,0.0
2,2253,2002-03-10,A106016KSI0YQ,res:Session_9,B00005UQ9F,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3250,2007-03-26,A106016KSI0YQ,res:Mysterious_Skin,B000ATQYQU,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3332,2006-01-31,A106016KSI0YQ,res:Junebug_(film),B000BYRCQU,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3119010725186429e-45,0.0,0.0,0.0,0.0,0.0
3,1651,2014-05-06,A106YXO3EHVD3J,res:The_Faculty,6305428220,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145910411579377e-81,0.0,1.0,0.0,0.0,0.0
3,2013,2014-03-08,A106YXO3EHVD3J,res:The_Pianist_(2002_film),B00005JLT5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2057,2014-05-06,A106YXO3EHVD3J,res:Spider-Man_2,B00005JMQW,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145910411579377e-81,0.0,1.0,0.0,0.0,0.0
3,2075,2013-05-02,A106YXO3EHVD3J,res:King_Kong_(2005_film),B00005JO20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5134802682434395e-157,0.0,1.0,0.0,0.0,0.0
3,2107,2014-05-06,A106YXO3EHVD3J,res:Spider-Man_3,B00005JPFH,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145910411579377e-81,0.0,1.0,0.0,0.0,0.0
