user_id,entity_id,timestamp,user_id:token,entity_id:token,item_id:token
3,42037,2001-05-01,A96K1ZGW56S2I,res:Keeping_the_Faith,B00003CXHG
3,55173,2002-02-11,A96K1ZGW56S2I,res:The_Matrix_Revisited,B00005OBB9
3,37655,2002-03-03,A96K1ZGW56S2I,res:His_Girl_Friday,6305416192
3,36082,2002-03-15,A96K1ZGW56S2I,res:George_Lucas_in_Love,0615115187
3,49225,2002-03-24,A96K1ZGW56S2I,res:Poltergeist_(1982_film),0792833201
3,40255,2002-05-12,A96K1ZGW56S2I,res:Joe_Dirt,B00005MEV2
3,42253,2002-09-11,A96K1ZGW56S2I,res:Kermit's_Swamp_Years,B00006AUHR
3,55289,2002-10-27,A96K1ZGW56S2I,res:The_Others_(2001_film),B00003CYLJ
3,55117,2002-11-10,A96K1ZGW56S2I,res:The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,B00003CWT6
3,33210,2002-11-26,A96K1ZGW56S2I,res:Die_Another_Day,B00005JLBE
3,53146,2003-01-02,A96K1ZGW56S2I,res:Star_Trek:_Nemesis,B00005JLRT
3,54290,2003-01-26,A96K1ZGW56S2I,res:The_Adventures_of_Elmo_in_Grouchland,0767839277
3,30273,2003-02-09,A96K1ZGW56S2I,res:Catch_Me_If_You_Can,B00005JLSB
3,31857,2003-05-10,A96K1ZGW56S2I,res:Daddy_Day_Care,B00005JM4W
3,32827,2003-05-17,A96K1ZGW56S2I,res:Death_to_Smoochy,B00006CXHZ
3,36980,2003-05-17,A96K1ZGW56S2I,res:Halloween:_Resurrection,B00006LPHA
3,55699,2003-05-20,A96K1ZGW56S2I,res:The_Wild_Thornberrys_Movie,B00005JLS5
3,52063,2003-09-25,A96K1ZGW56S2I,res:Secondhand_Lions,B0000YTP02
3,38295,2003-10-11,A96K1ZGW56S2I,res:Intolerable_Cruelty,B00005JMET
3,25786,2003-11-04,A96K1ZGW56S2I,res:28_Days_Later,B00005JMA8
3,45362,2003-11-18,A96K1ZGW56S2I,res:Master_and_Commander:_The_Far_Side_of_the_World,B00008W64E
3,38105,2003-12-16,A96K1ZGW56S2I,res:Identity_(2003_film),B00008EY9G
3,28552,2004-01-24,A96K1ZGW56S2I,res:Below_(film),B00005JKWG
3,40872,2004-02-08,A96K1ZGW56S2I,res:Johnny_English,B00005JM20
3,56983,2004-05-24,A96K1ZGW56S2I,res:Van_Helsing:_The_London_Assignment,B0001CNRNY
3,37202,2004-08-18,A96K1ZGW56S2I,res:Harry_Potter_and_the_Prisoner_of_Azkaban_(film),B00005JMAH
3,53036,2004-09-02,A96K1ZGW56S2I,res:Spider-Man_2,B00005JMQW
3,49995,2004-09-11,A96K1ZGW56S2I,res:Resident_Evil:_Apocalypse,0767834739
3,54428,2004-09-20,A96K1ZGW56S2I,res:The_Boondock_Saints,B00005IC54
3,51859,2004-10-17,A96K1ZGW56S2I,res:School_of_Rock,B00018U9FW
3,30168,2004-10-25,A96K1ZGW56S2I,res:Carnival_of_Souls,1559409002
3,43897,2004-11-03,A96K1ZGW56S2I,res:Looney_Tunes:_Back_in_Action,B0001906VI
3,47149,2004-12-13,A96K1ZGW56S2I,res:National_Treasure_(film),B00005JN5E
3,55118,2004-12-14,A96K1ZGW56S2I,res:The_Lord_of_the_Rings:_The_Return_of_the_King,B00005JKZY
3,35648,2005-02-25,A96K1ZGW56S2I,res:From_Hell_(film),B00005JKJM
3,31513,2005-03-22,A96K1ZGW56S2I,res:Constantine_(film),B0009KA7BS
3,35809,2005-03-23,A96K1ZGW56S2I,res:Garden_State_(film),B00005JNC2
3,55125,2005-03-23,A96K1ZGW56S2I,res:The_Lost_Skeleton_of_Cadavra,B00020HAY2
