head_id,relation_id,tail_id,head_id:token,relation_id:token,tail_id:token
5434,20,13078,res:George_Lucas_in_Love,dct:subject,cat:Films_directed_by_Joe_Nussbaum
5434,20,13079,res:George_Lucas_in_Love,dct:subject,cat:1990s_American_films
5434,20,13080,res:George_Lucas_in_Love,dct:subject,cat:1990s_English-language_films
5434,20,13081,res:George_Lucas_in_Love,dct:subject,cat:1999_films
5434,20,13082,res:George_Lucas_in_Love,dct:subject,cat:American_independent_films
5434,20,13083,res:George_Lucas_in_Love,dct:subject,cat:American_science_fiction_short_films
5434,20,13084,res:George_Lucas_in_Love,dct:subject,cat:Films_set_in_Los_Angeles
5434,20,13085,res:George_Lucas_in_Love,dct:subject,cat:Films_scored_by_Deborah_Lurie
5434,20,13086,res:George_Lucas_in_Love,dct:subject,cat:1999_independent_films
5434,20,13087,res:George_Lucas_in_Love,dct:subject,cat:Fan_films_based_on_Star_Wars
5434,20,13088,res:George_Lucas_in_Love,dct:subject,cat:American_student_films
5434,20,13089,res:George_Lucas_in_Love,dct:subject,cat:1999_short_films
5434,20,13090,res:George_Lucas_in_Love,dct:subject,cat:Films_set_in_1967
5434,20,13091,res:George_Lucas_in_Love,dct:subject,cat:Cultural_depictions_of_George_Lucas
5434,20,13092,res:George_Lucas_in_Love,dct:subject,cat:Parody_films_based_on_Star_Wars
5434,8,13093,res:George_Lucas_in_Love,dbo:director,res:Joe_Nussbaum
5434,19,13093,res:George_Lucas_in_Love,dbo:writer,res:Joe_Nussbaum
5434,12,13094,res:George_Lucas_in_Love,dbo:musicComposer,res:Deborah_Lurie
5434,17,13095,res:George_Lucas_in_Love,dbo:starring,res:Lisa_Jakub
5434,17,13096,res:George_Lucas_in_Love,dbo:starring,res:Martin_Hynes
5435,20,13097,res:Absence_of_Malice,dct:subject,cat:1980s_American_films
5435,20,13098,res:Absence_of_Malice,dct:subject,cat:1980s_English-language_films
5435,20,13099,res:Absence_of_Malice,dct:subject,cat:1981_films
5435,20,13100,res:Absence_of_Malice,dct:subject,cat:American_crime_drama_films
5435,20,13101,res:Absence_of_Malice,dct:subject,cat:American_films_about_revenge
5435,20,13102,res:Absence_of_Malice,dct:subject,cat:Films_about_journalists
5435,20,13103,res:Absence_of_Malice,dct:subject,cat:Films_about_miscarriage_of_justice
5435,20,13104,res:Absence_of_Malice,dct:subject,cat:Films_scored_by_Dave_Grusin
5435,20,13105,res:Absence_of_Malice,dct:subject,cat:Films_set_in_Miami
5435,20,13106,res:Absence_of_Malice,dct:subject,cat:Films_shot_in_Miami
5435,20,13107,res:Absence_of_Malice,dct:subject,"cat:Films_set_in_Coral_Gables,_Florida"
5435,20,13108,res:Absence_of_Malice,dct:subject,cat:1981_crime_drama_films
5435,20,13109,res:Absence_of_Malice,dct:subject,cat:Films_directed_by_Sydney_Pollack
5435,8,13110,res:Absence_of_Malice,dbo:director,res:Sydney_Pollack
5435,12,13111,res:Absence_of_Malice,dbo:musicComposer,res:Dave_Grusin
5435,17,13112,res:Absence_of_Malice,dbo:starring,res:Paul_Newman
5435,17,13113,res:Absence_of_Malice,dbo:starring,res:Sally_Field
5435,19,13114,res:Absence_of_Malice,dbo:writer,res:David_Rayfiel
5435,19,13115,res:Absence_of_Malice,dbo:writer,res:Kurt_Luedtke
5436,20,13080,res:Spice_World_(film),dct:subject,cat:1990s_English-language_films
5436,20,13116,res:Spice_World_(film),dct:subject,cat:Films_shot_in_Surrey
5436,20,13117,res:Spice_World_(film),dct:subject,cat:1990s_British_films
5436,20,13118,res:Spice_World_(film),dct:subject,cat:1997_comedy_films
5436,20,13119,res:Spice_World_(film),dct:subject,cat:1997_films
5436,20,13120,res:Spice_World_(film),dct:subject,cat:Films_about_film_directors_and_producers
5436,20,13121,res:Spice_World_(film),dct:subject,cat:Films_set_in_London
5436,20,13122,res:Spice_World_(film),dct:subject,cat:Films_shot_in_Buckinghamshire
5436,20,13123,res:Spice_World_(film),dct:subject,cat:Films_shot_in_London
5436,20,13124,res:Spice_World_(film),dct:subject,cat:Icon_Productions_films
5436,20,13125,res:Spice_World_(film),dct:subject,cat:Self-reflexive_films
5436,20,13126,res:Spice_World_(film),dct:subject,cat:Cultural_depictions_of_Elton_John
5436,20,13127,res:Spice_World_(film),dct:subject,cat:Works_about_the_Spice_Girls
5436,20,13128,res:Spice_World_(film),dct:subject,cat:Films_about_filmmaking
5436,20,13129,res:Spice_World_(film),dct:subject,cat:Golden_Raspberry_Award_winning_films
5436,20,13130,res:Spice_World_(film),dct:subject,cat:1990s_buddy_comedy_films
