user_id:token,item_id:token,timestamp,rating:float
A2B8DJ0CKN9FAO,0615115187,2003-04-18,1.0
AUDSM2CTLLW1Q,0615115187,2002-06-04,1.0
A96K1ZGW56S2I,0615115187,2002-03-15,1.0
A3DE1IYJGU5HPW,0615115187,2001-09-02,1.0
A3S1YIQQW7AZO,0615115187,2001-04-04,1.0
A3V6Z4RCDGRC44,0615115187,2000-11-08,1.0
A2QK0CLGM4Q0R3,0615115187,2000-07-12,1.0
A3V61K0EF38GP4,0767803434,2014-06-30,1.0
A1IWR4YH4ZA9BM,0767803434,2014-06-22,1.0
A39P7SHA6TBN8H,0767803434,2013-12-05,1.0
A10LX7UZPKNSU,0767803434,2013-08-15,1.0
A3KF46HP60GDFX,0767803434,2013-07-21,1.0
A2YP1HYB6Q0JEQ,0767803434,2013-07-01,1.0
A14ZLQAJI6AAM1,0767803434,2013-05-07,1.0
ANHBN9DXMJC0T,0767803434,2013-03-04,1.0
A2U7BJ7B165QN3,0767803434,2013-01-13,1.0
A2TRR8VUVHWTM1,0767803434,2012-10-17,1.0
A1X1CEGHTHMBL1,0767803434,2012-08-26,1.0
A1NTXJPTFP1G03,0767803434,2012-07-28,1.0
ANGH6401L9Y0T,0767803434,2012-05-12,1.0
ASGIVOW34XNQS,0767803434,2012-05-02,1.0
A1FNES0QEBJZD1,0767803434,2012-03-12,1.0
AU25GMX57XBVO,0767803434,2012-01-17,1.0
A2VJ80PM1G00QV,0767803434,2011-12-19,1.0
A2GPN2VKS8E77C,0767803434,2011-01-29,1.0
A1ELO9LMSE1CQ7,0767803434,2011-01-05,1.0
A6VXZ1EEPRTLV,0767803434,2010-05-09,1.0
A3RB6NQOLOBXYD,0767803434,2010-02-04,1.0
A35ZK3M8L9JUPX,0767803434,2010-01-05,1.0
A1C58YXM2A30CY,0767803434,2009-08-14,1.0
AHABFECTNE15I,0767803434,2009-06-07,1.0
A2FRKEXDXDN1KI,0767803434,2009-06-03,1.0
A32T2H8150OJLU,0767803434,2009-04-02,1.0
A1TMAVN4CEM8U8,0767803434,2008-02-01,1.0
A3DDPQ9342UNMY,0767803434,2007-10-16,1.0
A2UX5ABICURKL5,0767803434,2007-10-04,1.0
A3Q1EDCBV2KU8D,0767803434,2007-05-30,1.0
A2M5FI4CB6VUXF,0767803434,2007-05-03,1.0
A1Q15TP2FXYYMF,0767803434,2006-06-24,1.0
A3GKOMCQTTWPUI,0767803434,2006-05-05,1.0
A3BH49ZKESHDID,0767803434,2005-12-24,1.0
AQBRMBQ99ESI7,0767803434,2005-07-23,1.0
A2SRZQU1SZG4RR,0767803434,2005-07-01,1.0
A457S8SW690NM,0767803434,2005-07-01,1.0
A30TK6U7DNS82R,0767803434,2005-06-13,1.0
AY69ZK7G6CNYJ,0767803434,2005-04-18,1.0
A3AVJCB1ZD6ZY5,0767803434,2005-03-02,1.0
A30YM3J14K78RW,0767803434,2005-02-25,1.0
APOGXH3A74CM3,0767803434,2005-01-03,1.0
A1SVXJZ3386U2D,0767803434,2004-09-19,1.0
A3804ADXG509OR,0767808673,2013-02-21,1.0
AMYW43AHO16SS,0767803434,2004-09-18,1.0
A3GA09FYFKL4EY,0767803434,2004-09-06,1.0
A2X6GEC6LCDN4S,0767803434,2004-08-15,1.0
A2KJOWQAADBFM8,0767803434,2004-04-14,1.0
A2ODBHT4URXVXQ,0767803434,2004-03-15,1.0
ADLN37B0153N,0767803434,2004-03-05,1.0
A1A87TUBBDPMF0,0767803434,2003-08-27,1.0
A1M9DQDGE07Q0U,0767803434,2003-03-27,1.0
AP0DQSDFSLP4P,0767803434,2003-01-17,1.0
A319SKSB556033,0767803434,2002-12-01,1.0
A3L2U581LL17EB,0767803434,2002-09-14,1.0
A2D8CUJPOSRPNA,0767803434,2002-07-22,1.0
ASHT96DUVMF1S,0767803434,2002-06-08,1.0
A2Z9XBCYT3AHHU,0767803434,2002-05-23,1.0
A3VQSFORKH8B7O,0767803434,2002-05-18,1.0
A29R4FCO6RFX4K,0767803434,2002-04-18,1.0
ABSX5TGEGRH76,0767803434,2002-04-17,1.0
AC9RN6DJ953QY,0767808673,2010-07-27,1.0
A29R3O02O0PON4,0767803434,2002-04-13,1.0
A1CZICCYP2M5PX,0767803434,2002-01-15,1.0
A22IK3I6U76GX0,0767803434,2001-11-22,1.0
A10QUKLNY6C3GC,0767803434,2001-10-11,1.0
A1JJOV69MAU2J2,0767803434,2001-10-10,1.0
A3QJU4FEN8PQSZ,0767803434,2001-07-19,1.0
A141HP4LYPWMSR,0767808673,2006-03-28,1.0
A1B350OHYHQTGX,0767803434,2001-04-28,1.0
A2GB5CG77LGQRB,0767803434,2001-04-08,1.0
AZ1H3VLCDR298,0767803434,2001-02-27,1.0
A2INL3AYAT6325,0767803434,2001-02-18,1.0
A1XYE1JGSL6S2J,0767803434,2001-01-24,1.0
A2198FZZMTJ38H,0767803434,2000-07-19,1.0
AUGABW5AS2OXM,0767803434,2000-06-27,1.0
AT2BYFEVLVITT,0767803434,2000-05-20,1.0
ATFNT456Z3N64,0767808673,2003-02-06,1.0
A1VFCX7D378LXO,0767808673,2001-11-03,1.0
A2W8GURWX2CGQ6,0767808673,2000-10-27,1.0
A7Y6AVS576M03,0767808673,2000-10-21,1.0
A3KXFQQFBPJTQE,0767809726,2000-02-10,1.0
AM54D10X2VA2,0767809726,2013-06-30,1.0
AFVROUVTT63XM,0767809726,2013-06-06,1.0
A27IM95K2U31OU,0767809726,2012-01-14,1.0
A3O536E2YOKK4Y,0767809726,2010-10-05,1.0
A35ZK3M8L9JUPX,0767809726,2010-03-03,1.0
A1HO9J4DCQDGP9,0767817737,2000-01-22,1.0
AJUEE2C2EJ0V3,0767817737,2013-09-20,1.0
A8LFWTY1JPACA,0767817737,2013-09-15,1.0
A3JYWTDS82BDCL,0767817737,2010-10-23,1.0
AR7CVRJRHA5O7,0767817737,2010-10-05,1.0
AIMR915K4YCN,0767817737,2010-01-09,1.0
A35ZK3M8L9JUPX,0767817737,2010-01-02,1.0
AW4MT9WP95TVD,0767817737,2009-10-10,1.0
A1L43KWWR05PCS,0767817737,2009-05-20,1.0
A220FJEQNGMSRN,0767817737,2008-04-21,1.0
A13QNGUB9IYTY4,0767817737,2005-07-20,1.0
A2198FZZMTJ38H,0767817737,2000-04-26,1.0
A3KWHDPAJGKGHO,0767827686,2014-02-11,1.0
ABPTXUR9T2H6O,0767827686,2013-01-06,1.0
A2198O25QYUPXE,0767827686,2011-10-13,1.0
A3N8RZSXKN1OR2,0767827686,2010-05-27,1.0
A356Y9OXSO4LBQ,0767827686,2009-01-31,1.0
A3KY68OTSNHM3G,0767827686,2008-05-12,1.0
A2YM3KILJ1G0YJ,0767827686,2008-04-07,1.0
A2VIY4M4GGJHXY,0767827686,2005-08-10,1.0
A1GHUN5HXMHZ89,0767827686,2005-03-21,1.0
ANCOMAI0I7LVG,0767821408,2013-06-03,1.0
A37NODCIL8PP75,0767821408,2013-05-19,1.0
A2YO4PV4LCYJHA,0767821408,2013-03-25,1.0
A2DB22MRLKXUT4,0767821408,2012-05-30,1.0
A2HW33PQSRHLNO,0767821408,2011-06-15,1.0
AKS9SJTHTU0OM,0767821408,2010-11-12,1.0
A2BPDFR58H9575,0767821408,2007-09-11,1.0
A2ATWKOFJXRRR1,0767821408,2007-08-26,1.0
A96K1ZGW56S2I,0767821408,2007-04-04,1.0
AYJ6P9F8GX9XF,0767821408,2006-01-05,1.0
A3KF4IP2MUS8QQ,0767821408,2005-07-13,1.0
A34PAZQ73SL163,0767821408,2005-03-25,1.0
A2B73CL3QSYWLB,0767821408,2004-12-17,1.0
A20LY8E9NGYA4M,0767821408,2004-08-06,1.0
A1D2C0WDCSHUWZ,0767821408,2004-03-31,1.0
A6ADO7B6FUVN,0767821408,2003-04-06,1.0
A1E11HKN4IRY09,0767821408,2003-01-05,1.0
ASHT96DUVMF1S,0767821408,2002-12-17,1.0
A3J7QTHYIZ3XQT,0767821408,2002-08-22,1.0
ATA9L747CJ622,0767821408,2002-05-07,1.0
A18PVT4SDHX9EH,0767821408,2002-04-17,1.0
A27CFNHYZG6WS8,0767821408,2002-03-20,1.0
A27PSZX2SE0B51,0767821408,2002-02-16,1.0
A2OXDJP1Z3LNOK,0767821408,2002-02-14,1.0
A33A18ZPG0S6QZ,0767821408,2001-10-03,1.0
A1UNJ46NSB352E,0767821408,2001-03-28,1.0
A2QK0CLGM4Q0R3,0767821408,2000-05-31,1.0
A3R2YB0WTTB0IJ,0767821408,2000-05-05,1.0
A3AKPY4LXIC24O,0767821408,2000-04-17,1.0
A1W702WG1LC6R3,0767817664,2016-06-30,1.0
A3PKTO0UJJJ8BS,0767817664,2014-05-23,1.0
AX92P15E6YOED,0767817664,2014-04-16,1.0
AN0ILVRWZUV4E,0767817664,2013-10-08,1.0
AJUEE2C2EJ0V3,0767817664,2013-09-20,1.0
A1GD1G8XXPRYQ8,0767817664,2013-09-19,1.0
A1EAMAQ8BSI0LY,0767817664,2013-09-03,1.0
A2UD8A6JDZ8L4M,0767817664,2013-05-13,1.0
A3P1EB052N9Y90,0767817664,2013-04-26,1.0
A551XY0L7WQXU,0767817664,2013-04-17,1.0
A3PQ4O3YUI3RMT,0767817664,2013-03-22,1.0
A2FPDWTD9AENVK,0767817664,2013-01-31,1.0
AKLHGV1UODATE,0767817664,2013-01-12,1.0
A32JO1FLE8KF05,0767817664,2012-08-06,1.0
A16XRPF40679KG,0767817664,2011-12-23,1.0
A1FJ4WAOIDPEF4,0767817664,2011-12-08,1.0
ASF2Z8OJR0TP3,0767817664,2011-12-02,1.0
A1HMBIRR0RJ1NI,0767817664,2011-11-01,1.0
A1D2LB4Z5RMO4M,0767817664,2011-07-05,1.0
A86R2KZIFHKLB,0767817664,2011-06-25,1.0
AIMR915K4YCN,0767817664,2011-05-11,1.0
A2YCG57S65QXUU,0767817664,2010-10-23,1.0
A1NI0VOVXZBM7Y,0767817664,2010-06-13,1.0
A1C58YXM2A30CY,0767817664,2010-06-05,1.0
A35VG5NCAWKUI,0767817664,2010-06-01,1.0
A17DHFD2XQV4ZY,0767817664,2010-04-13,1.0
A3UA046AA3DXFD,0767817664,2009-10-09,1.0
A139ZF7CJVVTJU,0767817664,2009-05-24,1.0
A39CX0EE4BZCZC,0767817664,2009-02-13,1.0
AW4MT9WP95TVD,0767817664,2008-04-20,1.0
A141HP4LYPWMSR,0767817664,2008-01-04,1.0
A30LMTLC9XVWKJ,0767817664,2007-09-26,1.0
A1LJR5IS0B6ADX,0767817664,2007-06-11,1.0
A1POFVVXUZR3IQ,0767817664,2007-06-03,1.0
AVKFW09X08QYZ,0767817664,2007-04-25,1.0
A1ER6IYOMM8VCT,0767817664,2007-03-19,1.0
A1M4NJYP0WNL8Q,0767817664,2006-06-01,1.0
A2XRZV63X79YSJ,0767817664,2005-12-23,1.0
A36RS7KTNOBROF,0767817664,2005-11-01,1.0
A2JP0URFHXP6DO,0767817664,2005-08-19,1.0
A1NSUJJCG73IRF,0767817664,2005-06-01,1.0
A2UQIIJ2CD8REE,0767817664,2005-05-11,1.0
AJKWF4W7QD4NS,0767817664,2005-02-05,1.0
A29COAL60SB48B,0767817664,2004-12-07,1.0
A3KF4IP2MUS8QQ,0767817664,2004-10-19,1.0
A1COW0UIB5HA9J,0767817664,2004-10-18,1.0
A2WSI8HOWHFDOT,0767817664,2004-06-28,1.0
A2ZQD77EEXEPM6,0767817664,2004-03-19,1.0
AFOK05KDCHSHL,0767817664,2004-03-01,1.0
A25ZVI6RH1KA5L,0767817664,2003-04-22,1.0
AQ01Q3070LT29,0767817664,2003-04-10,1.0
A13KXWTN0DT878,0767817664,2002-08-16,1.0
A1TONI9A0YFOD6,0767817664,2002-04-22,1.0
A20DW2QWVWEG06,0767817664,2002-03-22,1.0
A39C7SEMCJWVOI,0767817664,2002-02-09,1.0
A15TNUM2PBS6F0,0767817664,2001-11-01,1.0
A2M1N8G4W4END8,0767817664,2001-10-14,1.0
A1L3E4ZLRNKFNP,0767817664,2001-09-27,1.0
ANYRXHDVOVS17,0767817664,2001-09-15,1.0
A2A6NH6DPE0VXR,0767817664,2001-08-20,1.0
A3S9887MZFNNH1,0767817664,2000-01-24,1.0
A2VMT89TCSF105,0767834739,2014-07-05,1.0
A1W2JAZXUVWUBZ,0767834739,2014-02-15,1.0
A1LV1W45P7OYAM,0767834739,2018-03-10,1.0
A2GGB5O6W6D8QN,0767834739,2013-12-27,1.0
A2KSRJFZ2R9JK3,0767834739,2013-05-17,1.0
